Document # (page in master .pdf file)	Date (MM/DD/YYYY format)	"Name of writer (last, first, middle)"
293	07/02/34	"Newcomb, W, J"
283	07/03/34	N/A
284	07/03/34	"Holis, H, F"
285	07/04/34	N/A
286	07/04/34	"Naatz, Seymour"
287	07/04/34	N/A
203	07/06/34	"Thurston, Louis, S"
205	07/06/34	"Newcomb, W, J"
206	07/06/34	"Thurston, Louis, S"
279	07/06/34	"Scott, Roy"
280	07/06/34	"Thurston, Louis, S"
281	07/06/34	"Thurston, Louis, S"
282	07/06/34	"Newcomb, W, J"
201	07/07/34	N/A
202	07/07/34	JT:RM
277	07/07/34	American Fish Culture Company
276	07/09/34	American Fish Culture Company
276	07/09/34	American Fish Culture Company
274	07/10/34	"Newcomb, W, J"
275	07/10/34	"Newcomb, W, J"
199	07/12/34	"Kenworthy, John, R"
198	07/23/34	"Kenworthy, John, R"
294	07/29/34	"Newcomb, W, J"
294	07/29/34	"Newcomb, W, J"
295	07/29/34	"Newcomb, W, J"
198	08/23/34	"Kenworthy, John, R"
190	09/01/34	N/A
200	09/07/34	N/A
270	09/10/34	Willomec Creek Hatchery
269	09/18/34	"Newcomb, W, J"
197	09/21/34	"Kenworthy, John, R"
197	09/21/34	"Kenworthy, John, R"
268	09/28/34	"Newcomb, W, J"
240	09/29/34	Plymouth Rock Trout Co. 
196	10/01/34	"Hoxsie, F, D "
239	10/16/34	Plymouth Rock Trout Co. 
191	10/22/34	"Newcomb, W, J"
192	10/22/34	"Newcomb, W, J"
193	10/22/34	"Newcomb, W, J"
189	10/25/34	American Fish Culture Company
188	10/29/34	N/A
187	11/01/34	American Fish Culture Company
184	11/07/34	N/A
185	11/23/34	"Thurston, Louis, S"
186	11/23/34	"Thurston, Louis, S"
183	11/26/34	N/A
266	01/29/35	"Newcomb, W, J"
267	01/29/35	"Newcomb, W, J"
171	02/08/35	"Thurston, Louis, S"
174	02/12/35	"Joy, Claude"
172	02/13/35	"Blood, Earl, D"
173	02/13/35	"Blood, Earl, D"
169	02/15/35	"Crowther, Frank"
169	02/15/35	"Crowther, Frank"
160	02/18/35	"Bell, Frank, T"
161	02/18/35	"Bell, Frank, T"
170	02/18/35	"Thurston, Louis, S"
168	02/21/35	"Fox, Claude"
165	02/23/35	"Howford, Leo, B"
162	02/27/35	N/A
163	02/27/35	"Newcomb, W, J"
157	03/06/35	JJS:B
155	03/21/35	N/A
156	03/21/35	"Newcomb, W, J"
153	04/03/35	"Heulle, Garfield"
154	04/04/35	N/A
262	04/05/35	"Newcomb, W, J"
263	04/05/35	"Newcomb, W, J"
264	04/05/35	"Newcomb, W, J"
265	04/05/35	"Newcomb, W, J"
152	04/06/35	International Paper Company
260	04/08/35	"Annin, H, K"
261	04/08/35	American Fish Culture Company
150	04/09/35	American Fish Culture Company
150	04/09/35	N/A
151	04/10/35	"Thurston, Louis, S"
259	04/10/35	"Newcomb, W, J"
149	04/12/35	"Annin, H, K"
136	04/30/35	T. P. Hazard
148	05/13/35	N/A
147	05/14/35	"Kenworthy, John, R"
145	05/17/35	"Thurston, Louis, S"
146	05/17/35	"Thurston, Louis, S"
144	05/23/35	N/A
152	06/01/35	N/A
142	06/22/35	"Liddle, Fred, S"
258	06/27/35	"Newcomb, W, J"
111	07/01/35	N/A
257	07/08/35	"Moore, Emmeline"
257	07/08/35	"Moore, Emmeline"
120	07/10/35	"Anttermann, J, A,"
141	07/10/35	"Bell, Frank, T "
141	07/10/35	"Bell, Frank, J"
116	07/19/35	"Keene, Gabrirella"
138	08/01/35	"Frazier, A, S"
139	08/01/35	JT:RM
252	08/02/35	"Newcomb, W, J"
256	08/02/35	"Newcomb, W, J"
135	08/05/35	American Fish Culture Company
137	08/06/35	"K, J, R"
127	08/13/35	"Kenworthy, John, R"
254	08/13/35	"Lirdale, Jerry, S."
126	08/14/35	"Kenworthy, John, R"
122	08/15/35	"Thurston, Louis, S"
123	08/15/35	"Thurston, Louis, S"
124	08/15/35	"Thurston, Louis, S"
125	08/15/35	N/A
128	08/15/35	"Newcomb, W, J"
129	08/15/35	"Newcomb, W, J"
130	08/15/35	"Newcomb, W, J"
131	08/15/35	"Newcomb, W, J"
115	08/19/35	N/A
115	08/21/35	American Fish Culture Company
119	08/22/35	"Thurston, Louis, S"
108	09/14/35	N/A
114	09/30/35	N/A
66	01/01/36	N/A
65	05/04/36	"Thurston, Louis, S"
107	05/21/36	Iroquois Trout Hatchery
106	06/04/36	Iroquois Trout Hatchery
288	07/04/36	N/A
105	08/10/36	"Thurston, Louis, S"
101	08/11/36	"Thurston, Louis, S"
102	08/11/36	American Fish Culture Company
102	08/11/36	American Fish Culture Company
103	08/11/36	N/A
100	09/12/36	N/A
91	10/16/36	"Mahoney, Justin, T"
99	11/23/36	"Jorgensen, J, L"
97	12/02/36	"May, John, A"
96	12/05/36	"Thurston, Louis, S"
94	12/10/36	"J,J,I"
98	12/10/36	"Jorgensen, J, L"
89	06/09/37	Glen Eden Trout Hatchery
90	06/09/37	N/A
88	06/11/37	"Thurston, Louis, S"
86	06/14/37	N/A
87	06/14/37	"Bludgett, Joseph, C"
84	06/21/37	N/A
83	06/22/37	"Thurston, Louis, S"
82	06/28/37	N/A
85	07/22/37	N/A
81	08/04/37	"Thurston, Louis, S"
78	09/18/37	N/A
75	09/28/37	"Thurston, Louis, S"
74	10/14/37	"Thurston, Louis, S"
72	10/23/37	"Mahoney, Justin, T"
73	10/23/37	"Mahoney, Justin, T"
71	10/26/37	"Thurston, Louis, S"
70	12/07/37	N/A
69	12/11/37	"Thurston, Louis, S"
64	05/04/38	"Thurston, Louis, S"
62	05/05/38	"Thurston, Louis, S"
63	05/05/38	"Thurston, Louis, S"
58	05/06/38	"Liddle, Fred, S"
60	05/06/38	"Bludyet, L, G"
61	05/06/38	"Bridget J, A"
55	05/07/38	American Fish Culture Company
57	05/09/38	"Bishop, M, S"
15	05/15/38	Board of Directors
54	05/16/38	"Thurston, Louis, S"
56	05/16/38	"Thurston, Louis, S"
53	05/17/38	N/A
51	05/19/38	N/A
47	05/21/38	N/A
49	05/27/38	"Mahoney, Justin, T"
50	05/27/38	N/A
48	06/16/38	"May, John, A"
9	07/24/38	N/A
140	09/29/38	N/A
43	11/19/38	"Thurston, Louis, S"
42	11/22/38	American Fish Culture Company
41	11/28/38	0
40	11/29/38	N/A
37	12/28/38	"Lester ,Howard"
38	12/28/38	"LeFevre, Sherwood"
30	01/14/39	N/A
28	02/24/39	"Spragle, L. H."
27	03/24/39	"M:W,J"
26	04/01/39	N/A
26	04/01/39	L. S. T.
25	04/06/39	"May, John, A"
15	05/20/39	Board of Directors
22	05/24/39	"Thurston, Louis, S"
20	05/25/39	"Skiff, Victor, J"
21	05/25/39	"Skiff, Victor, J"
19	05/29/39	"May, John, A"
17	06/21/39	"Thurston, Louis, S"
18	06/21/39	American Fish Culture Company
16	06/23/39	"May, John, A"
8	07/22/39	N/A
7	09/05/39	N/A
8	10/20/39	N/A
14	06/10/40	"Thurston, Louis, S"
13	06/13/40	"Skiff, Victor, J"
7	07/05/40	N/A
7	07/12/40	N/A
6	10/01/40	"Thurston, Louis, S"
5	01/14/41	"M, J, A"
3	04/22/41	"Mascook,A"
4	04/22/41	N/A
1	05/29/41	N/A
132	08/14/55	N/A
92	12/16/63	"May, John, A"
